policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,segment,model,fuel_type,max_torque,max_power,engine_type,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,displacement,cylinder,transmission_type,gear_box,steering_type,turning_radius,length,width,height,gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating,is_claim
0.783192595902658,0.03,0.730769230769231,17,34738,1,0,0,0,5,2,6,2,0,0,0,1,0,1,796,3,1,5,2,4.6,3445,1515,1475,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.194243972059943,0.02,0.490384615384615,15,4076,1,0,0,0,5,2,6,2,0,0,0,1,0,1,796,3,1,5,2,4.6,3445,1515,1475,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1.1797607762170164,0.0638177460897848,0.5157335674515786,20,8794,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,1
1.018113179905242,0.0114903262624931,0.4543734314303213,15,4076,1,1,7,1,2,4,8,2,0,0,0,1,0,1,1120,3,1,5,0,4.761698912458356,3772,1690,1585,1336,0,0,0,0,0,1,1,1,0,0,1,1,2,1
1.11849331027744,0.07,0.759615384615385,17,34738,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0
0.412015521387419,0.02,0.528846153846154,11,27003,1,2,7,2,0,6,8,2,0,1,0,1,0,1,1197,4,1,5,0,4.8,3845,1735,1530,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0
0.082979372506315,0.11,0.288461538461538,20,8794,1,2,7,2,0,6,8,2,0,1,0,1,0,1,1197,4,1,5,0,4.8,3845,1735,1530,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0
0.005931178040846,0.05,0.701923076923077,3,34791,1,2,7,2,0,6,8,2,0,1,0,1,0,1,1197,4,1,5,0,4.8,3845,1735,1530,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0
1.201502110449,0.11,0.403846153846154,5,7788,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0
1.1383397948625755,0.0254594651554488,0.536642329488718,5,7788,3,3,5,1,3,3,3,4,0,1,0,1,0,0,1494,4,0,5,1,5.109189303108978,4159,1774,1584,1615,0,0,0,0,0,1,1,1,0,0,1,1,3,1
0.9791774891035628,0.0143726085775527,0.4986180184060045,11,27003,1,0,1,0,4,2,6,2,0,0,0,1,0,1,853,3,1,5,1,4.628745217155105,3502,1546,1482,1206,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0.999630331148474,0.0197921081575659,0.6002619024533469,20,8794,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,1
0.064938047664165,0.0,0.3745859998656302,15,4076,1,0,0,0,5,2,6,2,0,0,0,1,0,1,796,3,1,5,2,4.6,3445,1515,1475,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0.600802690740236,0.0155620601403741,0.4180890832883413,21,17804,2,2,2,0,4,0,4,4,0,0,0,1,0,0,1157,3,0,5,2,4.911241202807483,3888,1657,1557,1462,0,0,0,0,0,0,0,1,0,0,0,1,1,1
0.253335969432871,0.09,0.365384615384615,4,5410,2,0,4,2,8,5,0,2,0,0,0,0,1,1,999,3,0,5,0,5.0,3731,1579,1490,1155,0,0,0,0,0,1,1,1,0,1,1,1,2,0
1.0102202914858562,0.1181972488680369,0.6901018408928026,4,34784,1,2,6,2,0,5,7,2,0,0,0,1,0,1,1197,3,1,5,0,4.83934250377321,3864,1744,1539,1377,0,0,0,0,1,1,1,1,1,0,1,0,2,1
0.487396128467354,0.02,0.625,16,21622,1,0,0,0,5,2,6,2,0,0,0,1,0,1,796,3,1,5,2,4.6,3445,1515,1475,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1.208768162372156,0.08,0.5337934233771235,20,8794,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,1
1.0109130723852386,0.0475433841166958,0.408287968042224,15,4076,1,2,7,1,0,6,8,2,0,1,0,1,0,1,1241,4,1,5,0,4.814619486763913,3866,1729,1525,1293,1,0,0,0,0,1,1,1,1,1,1,1,2,1
0.4316058443827051,0.0844089082694836,0.3994001435413998,21,17804,1,3,3,1,1,3,2,3,1,1,0,1,1,0,1343,4,0,5,0,4.997850575525395,4145,1762,1574,1525,1,0,0,1,1,1,1,1,1,0,1,1,2,1
0.653901618020719,0.0662771258393928,0.5133619995506938,20,8794,1,2,7,2,0,6,8,2,0,1,0,1,0,1,1197,4,1,5,0,4.8,3845,1735,1530,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,1
0.143222670350929,0.04,0.375,7,16206,1,1,9,0,6,3,9,2,0,0,0,1,0,1,998,3,1,5,2,4.7,3655,1620,1675,1340,0,0,0,0,0,1,1,1,0,0,1,1,2,0
1.19022543656257,0.02,0.596153846153846,20,8794,1,2,7,2,0,6,8,2,0,1,0,1,0,1,1197,4,1,5,0,4.8,3845,1735,1530,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0
0.9261994683343602,0.0611201292116421,0.5279226006622166,5,7788,2,3,5,1,2,2,4,4,0,1,0,1,0,0,1388,4,0,5,1,5.059199138589053,4139,1770,1598,1584,1,0,0,0,1,1,1,1,1,0,1,1,2,1
1.01633231744888,0.16,0.721153846153846,20,8794,1,2,8,2,0,6,1,6,1,1,0,1,1,1,1197,4,0,5,0,4.85,3990,1745,1500,1410,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.153358350828941,0.0,0.721153846153846,3,34791,1,3,3,2,0,6,2,2,1,1,0,1,1,1,1197,4,0,5,0,4.8,3995,1735,1515,1335,1,0,0,1,1,1,1,1,1,1,1,1,2,0
1.0562098614036397,0.1058112027480842,0.5838722905167817,20,8794,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,1
0.6873862071820044,0.03,0.3876126391360409,11,27003,1,0,2,1,7,4,1,2,0,0,0,0,0,1,932,3,0,5,0,4.868828552985173,3637,1558,1485,1164,0,0,0,0,0,0,0,1,0,0,0,1,1,1
0.835852978258867,0.04,0.557692307692308,18,13051,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,0
0.8152368219281254,0.0339904654585281,0.4414515838720449,17,34738,3,4,5,1,4,0,3,6,1,1,1,1,1,0,1493,4,0,6,2,5.2,4300,1790,1635,1720,1,1,1,1,1,1,1,1,1,0,1,1,3,1
0.576243896341868,0.02,0.288461538461538,15,4076,1,0,0,0,5,2,6,2,0,0,0,1,0,1,796,3,1,5,2,4.6,3445,1515,1475,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.098059140893438,0.02,0.461538461538462,20,8794,1,2,7,2,0,6,8,2,0,1,0,1,0,1,1197,4,1,5,0,4.8,3845,1735,1530,1335,1,0,0,0,1,1,1,1,1,1,1,1,2,0
0.1882930700040426,0.0433426832904143,0.4190212424414872,16,21622,1,0,1,0,4,1,5,2,0,0,0,1,0,0,954,3,0,5,2,4.736871631443414,3640,1577,1511,1307,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0.793393386221265,0.06,0.519230769230769,0,4990,1,0,0,0,5,2,6,2,0,0,0,1,0,1,796,3,1,5,2,4.6,3445,1515,1475,1185,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.384713594066991,0.09,0.413461538461538,15,4076,1,1,9,0,6,3,9,2,0,0,0,1,0,1,998,3,1,5,2,4.7,3655,1620,1675,1340,0,0,0,0,0,1,1,1,0,0,1,1,2,0
